Rk,Pick,YR,HT,PLAYER,TEAM,CONF,G,ROLE,MIN_PCT,PRPG,D_PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A_TO,BLK,STL,FTR,FC40,DUNKS_MADE_ATT,DUNKS_PCT,CLOSE_2_MADE_ATT,CLOSE_2_PCT,FAR_2_MADE_ATT,FAR_2_PCT,FT_MADE_ATT,FT_PCT,2P_MADE_ATT,2P_PCT,3PR,3P_PER_100,3P_MADE_ATT,3P_PCT
1,-,Fr,6-9,Cameron Boozer,Duke,ACC,38,Stretch 4,83.6,7.6,5.6,17.1,12.0,5.1,131.4,85.7,30.6,60.7,65.3,12.5,22.1,25.6,14.7,1.6,2.2,2.5,53.6,2.0,41-43,.953,214-332,.645,22-52,.423,221-280,.789,236-384,.615,26.4,6.5,54-138,.391
2,-,Sr,6-2,Bruce Thornton,Ohio St.,B10,34,Combo G,90.3,7.2,4.2,11.6,8.9,2.7,136.3,100.9,23.2,62.6,66.5,3.3,13.5,21.9,9.2,3.0,0.8,1.9,39.7,2.0,0-0,.000,74-98,.755,101-175,.577,141-170,.829,175-273,.641,36.2,7.5,62-155,.400
3,-,Fr,6-3,Darius Acuff Jr.,Arkansas,SEC,36,Scoring PG,84.3,6.7,3.5,8.9,8.9,0.0,125.9,105.7,29.5,56.1,60.4,1.6,8.3,32.2,11.6,3.0,0.9,1.3,37.0,1.9,7-10,.700,126-211,.597,71-177,.401,178-220,.809,197-388,.508,34.8,9.0,91-207,.440
4,-,Fr,6-9,AJ Dybantsa,BYU,B12,35,Wing F,86.6,6.6,4.0,10.1,9.0,1.1,118.6,100.8,33.5,55.0,60.0,4.7,16.9,22.1,15.0,1.2,1.1,1.7,49.0,1.4,43-48,.896,133-184,.723,126-272,.463,229-296,.774,259-456,.568,24.5,6.9,49-148,.331
5,-,Fr,6-6,Keaton Wagler,Illinois,B10,37,Combo G,83.7,6.5,4.2,11.0,8.2,2.8,130.2,97.9,25.7,54.1,59.6,6.7,10.0,23.2,12.5,2.4,1.3,1.7,47.6,2.3,0-1,.000,84-146,.575,31-89,.348,172-216,.796,115-235,.489,48.2,10.7,87-219,.397
6,-,Fr,6-2,Ebuka Okorie,Stanford,ACC,31,Scoring PG,82.2,6.3,3.7,9.6,8.0,1.6,122.6,104.0,30.1,52.8,58.9,2.4,10.3,23.9,10.4,1.9,1.0,2.7,44.9,1.6,8-8,1.000,135-240,.563,36-85,.424,188-226,.832,171-325,.526,35.4,9.7,63-178,.354
7,-,Sr,6-4,Bennett Stirtz,Iowa,B10,37,Scoring PG,94.0,6.2,4.4,9.1,7.2,1.9,123.3,100.6,26.1,56.5,60.7,1.0,8.7,24.9,11.9,2.4,0.9,2.3,31.4,2.1,11-12,.917,98-139,.705,61-130,.469,140-165,.848,159-269,.591,48.9,11.7,92-257,.358
8,-,So,6-3,Christian Anderson,Texas Tech,B12,33,Pure PG,92.7,6.1,4.5,8.3,6.7,1.6,123.1,100.6,25.2,59.7,62.6,1.8,8.5,35.2,20.2,2.2,0.7,2.2,27.3,2.1,8-10,.800,55-76,.724,41-96,.427,95-118,.805,96-172,.558,60.2,12.1,108-260,.415
9,-,Sr,6-7,Nick Martinelli,Northwestern,B10,33,Wing F,86.1,6.0,3.8,7.3,7.3,0.1,120.9,103.5,29.4,55.2,60.2,7.8,13.5,13.2,8.4,1.4,1.2,1.4,41.8,2.6,7-7,1.000,104-166,.627,119-252,.472,178-220,.809,223-418,.533,20.5,5.7,45-108,.417
10,-,So,6-4,Labaron Philon,Alabama,SEC,33,Scoring PG,72.3,6.0,3.3,10.3,9.1,1.2,124.3,103.2,29.9,58.5,62.6,1.9,9.2,31.9,14.8,2.0,0.5,2.0,40.8,2.0,5-5,1.000,113-172,.657,49-110,.445,158-198,.798,162-282,.574,41.9,10.7,81-203,.399
